obra_id,contrato,obra,auditor_responsable,duracion_horas,latitud,longitud,supervisor_preferente_id,supervisor_preferente,supervisores_alternativos_ids,supervisores_alternativos,contratista_id,contratista,tipo_inspeccion,prioridad
15,AH-071025,"PROYECTO EJECUTIVO PP Z1730, MEJORANDO TU TRAYECTO A CASA, DELEGACIÓN CERRO GORDO EN LA COMUNIDAD HACIENDA ARRIBA; PROYECTO EJECUTIVO PP Z1526, EMPEDRADO CON HUELLA DE CONCRETO",LEPC,2.5,21.0992260761766,-101.65788506932189,SUP-014,ING. CHRISTOPHER DALID BELTRÁN RAMOS,,,CON-007,"CONSTRUCTORA MADACO, S. DE R.L. DE C.V.",Física,3
18,AE-405024,"CONSTRUCCIÓN DE PARQUE PÚBLICO CON CANCHA DE PRÁCTICAS, MOBILIARIO Y ALUMBRADO PÚBLICO EN EL MUNICIPIO DE LEÓN, GTO., EN LA LOCALIDAD LEÓN DE LOS ALDAMA, COLONIA SAN MIGUEL DE RENTERIA.",ARA,4,21.120693,-101.646274,SUP-012,I.C. JOSÉ DE JESÚS ROCHA TENA,SUP-019,ING. JUAN PABLO RODRÍGUEZ CORDOVA,CON-011,"CONTRATISTAS CENTENARIO, S.A. DE C.V.",Física,3
33,GE-428024,"CONSTRUCCION DE PARQUE PUBLICO EN EL MUNICIPIO DE LEON GTO, LOCALIDAD LEON DE LOS ALDAMA, COLONIA VALLE ANTIGUA (TERCERA ETAPA).",VRA,4,21.128095,-101.726327,SUP-010,ARQ. NORMA VIRIDIANA MACIAS MAGALLANES,SUP-018,ING. JOSÉ ALEJANDRO PÉREZ CEJA,CON-023,"KARAMAWI CONSTRUCTORA, S.A. DE C.V.",Física,3
34,GE-542024,"CONSTRUCCIÓN DE PARQUE DEPORTIVO EN EL MUNICIPIO DE LEÓN GTO., EN LA LOCALIDAD LEÓN DE LOS ALDAMA, EN LA COLONIA LA HUERTA (SEGUNDA ETAPA).",MASA,4,21.157369,-101.627151,SUP-001,ARQ. ELIA ORTIZ TÉLLEZ,SUP-019,ING. JUAN PABLO RODRÍGUEZ CORDOVA,CON-027,"PERICUES CONSTRUCTORA, S.A. DE C.V.",Física,3
21,AE-624024,"OBRA: PLAZA Y CUBIERTA DE ACCESO Y CASETA DE CONTROL DEL ACCESO OESTE HACIA EL PARQUE ECOLÓGICO METROPOLITANO DE LEÓN, GUANAJUATO, EN LA ZONA CONOCIDA COMO ACCESO BALCONES.",MASA,4,21.174679,-101.698685,SUP-006,ARQ. MARIA TERESA RAMIREZ MORENO,,,CON-010,"CONSTRUCTORA Y PAVIMENTADORA 403, S.A. DE C.V.",Física,3
22,AH-068025,"PROYECTO EJECUTIVO PP Z1622, REHABILITACIÓN DE NUESTRO PARQUE MORELOS, DELEGACIÓN SAN JUAN BOSCO ZONA LAS HUERTAS EN LA COLONIA MORELOS; PROYECTO EJECUTIVO PP Z1463",LCN,3,21.0992260761766,-101.65788506932189,SUP-009,ARQ. MICHELLE GUADALUPE JIMENEZ JIMENEZ,,,CON-013,"DEL VALLE INGENIERIA Y ESPACIOS ARQUITECTONICOS, S.A. DE C.V.",Física,3
23,AH-069025,"PROYECTO EJECUTIVO PP Z1798, PARQUE CONVIVE TORREMOLINOS, DELEGACIÓN CERRITO DE JEREZ ZONA DIEZ DE MAYO EN LA COLONIA TORREMOLINOS; PROYECTO EJECUTIVO PP Z1878",VRA,4,21.0992260761766,-101.65788506932189,SUP-008,ARQ. MICHELL PALOMARES GONZÁLEZ,,,CON-016,"GRUPO CONSTRUCTOR CONFICTUM, S.A. DE C.V.",Física,3
24,AH-074025,"PROYECTO EJECUTIVO PP Z1882, BARDA PERIMETRAL TUBULAR EN PARQUE, DELEGACIÓN DEL CARMEN ZONA EL POTRERO EN LA COLONIA MAGISTERIAL",XGOT,2,21.0992260761766,-101.65788506932189,SUP-003,ARQ. JESSICA GALILEA ARELLANO ÁVILA,,,CON-033,TORRES MEJIA JOSE REFUGIO,Física,3
25,AH-075025,"PROYECTO EJECUTIVO PP Z1835, CANCHA DE USOS MÚLTIPLES, DELEGACIÓN CERRO GORDO ZONA ARBOLEDAS DE LOS CASTILLOS EN LA COLONIA MAYA; PROYECTO EJECUTIVO PP Z2001, UN PARQUE",BACD,2,21.0992260761766,-101.65788506932189,,SIN DATO,,,CON-014,"ESE ADE CEVE, S.A. DE C.V.",Física,3
26,AH-084025,"PROYECTO EJECUTIVO PP Z1957, REHABILITACIÓN DE LAS ÁREAS COMUNES DEPORTIVAS, DELEGACIÓN LAS JOYAS ZONA LA ERMITA EN LA COLONIA VILLAS DE PALERMO",DAPF,2,21.0992260761766,-101.65788506932189,SUP-003,ARQ. JESSICA GALILEA ARELLANO ÁVILA,,,CON-024,LOPEZ GONZALEZ JUAN CARLOS,Física,3
27,AH-086025,"PROYECTO EJECUTIVO PP Z1659, REHABILITACIÓN DE PARQUE CALISTENIA Y PARKOUR, DELEGACIÓN COECILLO ZONA SANTA ROSA DE LIMA EN LA COLONIA DEPORTIVA II",FMM,3.5,21.0992260761766,-101.65788506932189,SUP-009,ARQ. MICHELLE GUADALUPE JIMENEZ JIMENEZ,,,CON-025,"MUBARQUI, S.A. DE C.V.",Física,3
28,AH-446024,PROYECTO EJECUTIVO DE REHABILITACIÓN PARQUE VECINAL MINI DEPORTIVO MALECÓN DEL RIO CRUZ DE CANTERA.,ARA,2,21.0992260761766,-101.65788506932189,SUP-008,ARQ. MICHELL PALOMARES GONZÁLEZ,,,CON-004,CARPIZO ITUARTE LUIS FELIPE,Física,3
29,AH-628024,"PROYECTO EJECUTIVO DE REHABILITACIÓN DE LA INFRAESTRUCTURA EXISTENTE Y CONSTRUCCIÓN DE PISTA BMX EN LA UNIDAD DEPORTIVA NUEVO MILENIO, LEÓN, GTO.",VHDV,3,21.0992260761766,-101.65788506932189,SUP-007,ARQ. MAURICIO ARIAS BALDERAS,,,CON-020,JOSE ANGEL SOTO MARTINEZ,Física,3
